Instcode;Unieknr;Geslacht;Gebdat;Nationaliteit;BKO;SKO;Peildat
DDD;187048501;M;19640101;0001;0;0;20181231
DDD;188971767;M;19740101;0001;0;0;20181231
DDD;146053630;V;19820101;0001;0;0;20181231
DDD;187908763;M;19760101;0001;0;0;20181231
DDD;187749637;V;19750101;0001;0;0;20181231
DDD;143951481;V;19760101;0001;0;0;20181231
DDD;14399160;M;19560101;0001;0;0;20181231
DDD;144103362;V;19700101;0001;0;0;20181231
DDD;144127428;M;19820101;0001;0;0;20181231
DDD;144531008;V;19740101;0001;0;0;20181231
DDD;187736642;V;19820101;0001;0;0;20181231
DDD;187233615;V;19720101;0001;0;0;20181231
DDD;145025999;V;19640101;0001;0;0;20181231
DDD;145184151;V;19790101;0001;0;0;20181231
DDD;147999930;M;19800101;0001;0;0;20181231
DDD;189011969;V;19810101;0001;0;0;20181231
DDD;149442414;V;19820101;0001;0;0;20181231
DDD;181366465;V;19820101;0001;0;0;20181231
DDD;181342770;M;19860101;0001;0;0;20181231
DDD;181311488;V;19830101;0001;0;0;20181231
DDD;149010271;V;19830101;0001;0;0;20181231
DDD;149074401;M;19820101;0001;0;0;20181231
DDD;149094115;M;19750101;0001;0;0;20181231
DDD;149102884;V;19730101;0001;0;0;20181231
DDD;149154111;M;19840101;0001;0;0;20181231
DDD;149155322;V;19680101;0001;0;0;20181231
DDD;14919478;M;19760101;0001;0;0;20181231
DDD;149206939;M;19720101;0001;0;0;20181231
DDD;183928994;M;19640101;0001;0;0;20181231
DDD;149352675;M;19830101;0001;0;0;20181231
DDD;181555650;V;19830101;0001;0;0;20181231
DDD;149562280;M;19740101;0001;0;0;20181231
DDD;149668016;V;19850101;0001;0;0;20181231
DDD;149692188;M;19780101;0001;0;0;20181231
DDD;149716630;V;19740101;0001;0;0;20181231
DDD;181075958;M;19670101;0001;0;0;20181231
DDD;149742526;M;19780101;0001;0;0;20181231
DDD;180596784;V;19600101;0001;0;0;20181231
DDD;180585033;V;19860101;0001;0;0;20181231
DDD;149774205;M;19660101;0001;0;0;20181231
DDD;149779439;M;19740101;0001;0;0;20181231
DDD;180505914;V;19770101;0001;0;0;20181231
DDD;199230692;V;19860101;0001;0;0;20181231
DDD;149305205;M;19820101;0001;0;0;20181231
DDD;182223455;M;19720101;0001;0;0;20181231
DDD;148033756;V;19790101;0001;0;0;20181231
DDD;183327049;M;19820101;0001;0;0;20181231
DDD;148176542;V;19780101;0001;0;0;20181231
DDD;148187747;M;19660101;0001;0;0;20181231
DDD;148211719;M;19630101;0001;0;0;20181231
DDD;148232090;M;19660101;0001;0;0;20181231
DDD;183198219;M;19760101;0001;0;0;20181231
DDD;182964863;V;19780101;0001;0;0;20181231
DDD;148232400;M;19730101;0001;0;0;20181231
DDD;182902212;V;19840101;0001;0;0;20181231
DDD;182462303;V;19860101;0001;0;0;20181231
DDD;182448977;M;19850101;0001;0;0;20181231
DDD;148947889;M;19840101;0001;0;0;20181231
DDD;182289490;M;19830101;0001;0;0;20181231
DDD;181433362;V;19700101;0001;0;0;20181231
DDD;182200115;V;19820101;0001;0;0;20181231
DDD;148420648;V;19810101;0001;0;0;20181231
DDD;148509501;M;19670101;0001;0;0;20181231
DDD;148538799;M;19760101;0001;0;0;20181231
DDD;148640776;V;19670101;0001;0;0;20181231
DDD;182128903;V;19650101;0001;0;0;20181231
DDD;181962134;V;19670101;0001;0;0;20181231
DDD;148704840;V;19750101;0001;0;0;20181231
DDD;148816179;M;19840101;0001;0;0;20181231
DDD;148821948;V;19860101;0001;0;0;20181231
DDD;181664872;V;19750101;0001;0;0;20181231
DDD;143100208;V;19770101;0001;0;0;20181231
DDD;148403340;V;19650101;0001;0;0;20181231
DDD;194254008;V;19640101;0001;0;0;20181231
DDD;195924898;V;19760101;0001;0;0;20181231
DDD;195275883;M;19600101;0001;0;0;20181231
DDD;195088529;V;19760101;0001;0;0;20181231
DDD;140839032;V;19670101;0001;0;0;20181231
DDD;140884866;V;19770101;0001;0;0;20181231
DDD;140895425;V;19650101;0001;0;0;20181231
DDD;140980470;M;19670101;0001;0;0;20181231
DDD;19505888;V;19880101;0001;0;0;20181231
DDD;194545804;M;19800101;0001;0;0;20181231
DDD;141051839;V;19700101;0001;0;0;20181231
DDD;141111885;M;19760101;0001;0;0;20181231
DDD;143176870;V;19700101;0001;0;0;20181231
DDD;141168084;V;19750101;0001;0;0;20181231
DDD;140718812;M;19820101;0001;0;0;20181231
DDD;141253112;M;19640101;0001;0;0;20181231
DDD;141320618;V;19720101;0001;0;0;20181231
DDD;193883935;V;19890101;0001;0;0;20181231
DDD;141352925;V;19810101;0001;0;0;20181231
DDD;141425044;V;19790101;0001;0;0;20181231
DDD;141428538;M;19810101;0001;0;0;20181231
DDD;193883868;V;19890101;0001;0;0;20181231
DDD;141524460;V;19700101;0001;0;0;20181231
DDD;193817602;M;19710101;0001;0;0;20181231
DDD;141557283;M;19660101;0001;0;0;20181231
DDD;141563259;M;19790101;0001;0;0;20181231
DDD;141580245;M;19710101;0001;0;0;20181231
DDD;194268499;V;19590101;0001;0;0;20181231
DDD;198540066;V;19860101;0001;0;0;20181231
DDD;171609025;M;19740101;0001;0;0;20181231
DDD;139965445;V;19790101;0001;0;0;20181231
DDD;199197768;V;19880101;0001;0;0;20181231
DDD;140042148;V;19770101;0001;0;0;20181231
DDD;198917380;V;19860101;0001;0;0;20181231
DDD;198892086;M;19880101;0001;0;0;20181231
DDD;198878064;M;19860101;0001;0;0;20181231
DDD;198736977;M;19870101;0001;0;0;20181231
DDD;198586193;V;19860101;0001;0;0;20181231
DDD;198545568;V;19870101;0001;0;0;20181231
DDD;198540424;V;19860101;0001;0;0;20181231
DDD;140452514;V;19830101;0001;0;0;20181231
DDD;195926498;M;19690101;0001;0;0;20181231
DDD;140488187;M;19780101;0001;0;0;20181231
DDD;196099407;V;19850101;0001;0;0;20181231
DDD;198402368;M;19870101;0001;0;0;20181231
DDD;198367830;M;19860101;0001;0;0;20181231
DDD;198211404;M;19870101;0001;0;0;20181231
DDD;198135944;M;19860101;0001;0;0;20181231
DDD;198081174;M;19540101;0001;0;0;20181231
DDD;197843158;V;19620101;0001;0;0;20181231
DDD;196769454;V;19860101;0001;0;0;20181231
DDD;196617893;M;19850101;0001;0;0;20181231
DDD;14065934;M;19890101;0001;0;0;20181231
DDD;140697657;V;19740101;0001;0;0;20181231
DDD;196289506;M;19890101;0001;0;0;20181231
DDD;141591998;V;19650101;0001;0;0;20181231
DDD;140456959;M;19700101;0001;0;0;20181231
DDD;191623118;M;19600101;0001;0;0;20181231
DDD;141587403;V;19710101;0001;0;0;20181231
DDD;142408632;M;19720101;0001;0;0;20181231
DDD;142449701;M;19700101;0001;0;0;20181231
DDD;192141520;M;19700101;0001;0;0;20181231
DDD;192082090;M;19740101;0001;0;0;20181231
DDD;191980370;M;19690101;0001;0;0;20181231
DDD;142616010;V;19760101;0001;0;0;20181231
DDD;191933483;V;19740101;0001;0;0;20181231
DDD;142669689;V;19800101;0001;0;0;20181231
DDD;19163659;M;19880101;0001;0;0;20181231
DDD;142682201;V;19700101;0001;0;0;20181231
DDD;142703205;M;19820101;0001;0;0;20181231
DDD;142359828;M;19630101;0001;0;0;20181231
DDD;142950080;M;19760101;0001;0;0;20181231
DDD;142307232;V;19720101;0001;0;0;20181231
DDD;191541089;V;19710101;0001;0;0;20181231
DDD;19124058;M;19880101;0001;0;0;20181231
DDD;190546620;V;19760101;0001;0;0;20181231
DDD;190296810;V;19850101;0001;0;0;20181231
DDD;14303400;V;19880101;0001;0;0;20181231
DDD;190291800;M;19850101;0001;0;0;20181231
DDD;190203858;V;19850101;0001;0;0;20181231
DDD;143034132;M;19700101;0001;0;0;20181231
DDD;143056815;M;19810101;0001;0;0;20181231
DDD;190069404;V;19640101;0001;0;0;20181231
DDD;189966299;V;19720101;0001;0;0;20181231
DDD;179423873;M;19640101;0001;0;0;20181231
DDD;142773968;M;19630101;0001;0;0;20181231
DDD;141983710;V;19760101;0001;0;0;20181231
DDD;143164313;V;19710101;0001;0;0;20181231
DDD;193769608;V;19870101;0001;0;0;20181231
DDD;141593855;M;19720101;0001;0;0;20181231
DDD;141760168;V;19650101;0001;0;0;20181231
DDD;141764483;V;19740101;0001;0;0;20181231
DDD;141801517;V;19700101;0001;0;0;20181231
DDD;193502293;M;19850101;0001;0;0;20181231
DDD;193468571;V;19790101;0001;0;0;20181231
DDD;193184923;V;19730101;0001;0;0;20181231
DDD;141915564;M;19710101;0001;0;0;20181231
DDD;141920560;V;19630101;0001;0;0;20181231
DDD;193117361;M;19670101;0001;0;0;20181231
DDD;142397713;V;19720101;0001;0;0;20181231
DDD;141949343;V;19780101;0001;0;0;20181231
DDD;193811278;M;19630101;0001;0;0;20181231
DDD;192927412;V;19720101;0001;0;0;20181231
DDD;142117961;M;19680101;0001;0;0;20181231
DDD;142126681;M;19630101;0001;0;0;20181231
DDD;192912075;M;19720101;0001;0;0;20181231
DDD;192893183;V;19660101;0001;0;0;20181231
DDD;192808875;V;19820101;0001;0;0;20181231
DDD;142228089;M;19760101;0001;0;0;20181231
DDD;192569198;M;19760101;0001;0;0;20181231
DDD;192561290;M;19790101;0001;0;0;20181231
DDD;192360863;M;19730101;0001;0;0;20181231
DDD;142271760;V;19640101;0001;0;0;20181231
DDD;192193264;V;19870101;0001;0;0;20181231
DDD;141945113;V;19610101;0001;0;0;20181231
DDD;152365453;M;19620101;0001;0;0;20181231
DDD;152071367;V;19690101;0001;0;0;20181231
DDD;17361739;V;19600101;0001;0;0;20181231
DDD;152073102;V;19770101;0001;0;0;20181231
DDD;173436395;V;19840101;0001;0;0;20181231
DDD;152099674;V;19640101;0001;0;0;20181231
DDD;152118475;V;19630101;0001;0;0;20181231
DDD;152196564;V;19750101;0001;0;0;20181231
DDD;152201724;M;19770101;0001;0;0;20181231
DDD;152212412;M;19650101;0001;0;0;20181231
DDD;152222266;M;19820101;0001;0;0;20181231
DDD;152252965;M;19670101;0001;0;0;20181231
DDD;153241975;M;19700101;0001;0;0;20181231
DDD;152313527;V;19730101;0001;0;0;20181231
DDD;173991287;M;19750101;0001;0;0;20181231
DDD;173316596;V;19770101;0001;0;0;20181231
DDD;173136862;V;19670101;0001;0;0;20181231
DDD;173047323;M;19760101;0001;0;0;20181231
DDD;17303375;V;19560101;0001;0;0;20181231
DDD;152429182;V;19620101;0001;0;0;20181231
DDD;152465679;V;19700101;0001;0;0;20181231
DDD;152587657;M;19650101;0001;0;0;20181231
DDD;152903579;V;19700101;0001;0;0;20181231
DDD;172982906;V;19840101;0001;0;0;20181231
DDD;153064267;M;19680101;0001;0;0;20181231
DDD;172952968;V;19820101;0001;0;0;20181231
DDD;18033652;V;19590101;0001;0;0;20181231
DDD;173420235;V;19720101;0001;0;0;20181231
DDD;151476177;V;19730101;0001;0;0;20181231
DDD;175101425;M;19720101;0001;0;0;20181231
DDD;150943689;V;19800101;0001;0;0;20181231
DDD;151113914;V;19840101;0001;0;0;20181231
DDD;151140972;V;19690101;0001;0;0;20181231
DDD;151141513;M;19820101;0001;0;0;20181231
DDD;151270094;M;19750101;0001;0;0;20181231
DDD;151286491;V;19750101;0001;0;0;20181231
DDD;175094474;V;19690101;0001;0;0;20181231
DDD;175057763;V;19850101;0001;0;0;20181231
DDD;175031294;V;19780101;0001;0;0;20181231
DDD;151401785;V;19840101;0001;0;0;20181231
DDD;174847902;V;19840101;0001;0;0;20181231
DDD;152002138;V;19630101;0001;0;0;20181231
DDD;151433087;V;19630101;0001;0;0;20181231
DDD;173866753;V;19770101;0001;0;0;20181231
DDD;174456456;V;19860101;0001;0;0;20181231
DDD;174399174;M;19780101;0001;0;0;20181231
DDD;174376120;M;19720101;0001;0;0;20181231
DDD;174217589;M;19860101;0001;0;0;20181231
DDD;174179703;V;19850101;0001;0;0;20181231
DDD;174097468;V;19730101;0001;0;0;20181231
DDD;151655746;M;19580101;0001;0;0;20181231
DDD;151695958;M;19830101;0001;0;0;20181231
DDD;151787980;V;19760101;0001;0;0;20181231
DDD;174056899;M;19800101;0001;0;0;20181231
DDD;151874889;M;19690101;0001;0;0;20181231
DDD;153275831;V;19700101;0001;0;0;20181231
DDD;174675384;V;19840101;0001;0;0;20181231
DDD;172029404;M;19860101;0001;0;0;20181231
DDD;172156299;M;19800101;0001;0;0;20181231
DDD;154674387;M;19700101;0001;0;0;20181231
DDD;154700258;M;19720101;0001;0;0;20181231
DDD;154735090;M;19620101;0001;0;0;20181231
DDD;154764752;M;19860101;0001;0;0;20181231
DDD;172150115;V;19790101;0001;0;0;20181231
DDD;154839503;V;19650101;0001;0;0;20181231
DDD;154849460;V;19720101;0001;0;0;20181231
DDD;172124298;M;19850101;0001;0;0;20181231
DDD;155195055;V;19810101;0001;0;0;20181231
DDD;17206881;V;19560101;0001;0;0;20181231
DDD;172950222;M;19620101;0001;0;0;20181231
DDD;155323664;V;19760101;0001;0;0;20181231
DDD;154347686;V;19870101;0001;0;0;20181231
DDD;155369312;V;19770101;0001;0;0;20181231
DDD;155370150;V;19750101;0001;0;0;20181231
DDD;171926522;M;19740101;0001;0;0;20181231
DDD;155438249;M;19690101;0001;0;0;20181231
DDD;155481319;M;19820101;0001;0;0;20181231
DDD;155591386;V;19660101;0001;0;0;20181231
DDD;171875052;M;19660101;0001;0;0;20181231
DDD;171813509;V;19690101;0001;0;0;20181231
DDD;171765375;V;19760101;0001;0;0;20181231
DDD;155728355;M;19700101;0001;0;0;20181231
DDD;155775600;V;19680101;0001;0;0;20181231
DDD;116392282;V;19630101;0001;0;0;20181231
DDD;155300958;V;19670101;0001;0;0;20181231
DDD;153885493;M;19850101;0001;0;0;20181231
DDD;172933006;V;19800101;0001;0;0;20181231
DDD;172785588;M;19680101;0001;0;0;20181231
DDD;172739893;V;19700101;0001;0;0;20181231
DDD;153355443;M;19780101;0001;0;0;20181231
DDD;153372763;V;19860101;0001;0;0;20181231
DDD;17263968;M;19600101;0001;0;0;20181231
DDD;153374566;V;19660101;0001;0;0;20181231
DDD;153390401;V;19840101;0001;0;0;20181231
DDD;172573585;M;19750101;0001;0;0;20181231
DDD;153515714;V;19540101;0001;0;0;20181231
DDD;153640278;V;19850101;0001;0;0;20181231
DDD;172458188;V;19840101;0001;0;0;20181231
DDD;154639296;M;19670101;0001;0;0;20181231
DDD;153855294;M;19860101;0001;0;0;20181231
DDD;154358647;V;19870101;0001;0;0;20181231
DDD;153991707;M;19850101;0001;0;0;20181231
DDD;153999693;M;19860101;0001;0;0;20181231
DDD;17234195;V;19550101;0001;0;0;20181231
DDD;154004758;M;19860101;0001;0;0;20181231
DDD;154026365;V;19860101;0001;0;0;20181231
DDD;172214105;M;19750101;0001;0;0;20181231
DDD;154336481;M;19860101;0001;0;0;20181231
DDD;154336969;V;19860101;0001;0;0;20181231
DDD;154339045;M;19860101;0001;0;0;20181231
DDD;154340223;M;19860101;0001;0;0;20181231
DDD;154340936;V;19860101;0001;0;0;20181231
DDD;150938474;V;19810101;0001;0;0;20181231
DDD;153827481;V;19860101;0001;0;0;20181231
DDD;150255474;M;19850101;0001;0;0;20181231
DDD;150061907;V;19720101;0001;0;0;20181231
DDD;150083572;M;19690101;0001;0;0;20181231
DDD;150103827;M;19820101;0001;0;0;20181231
DDD;150142085;V;19650101;0001;0;0;20181231
DDD;150180243;V;19820101;0001;0;0;20181231
DDD;178200674;V;19840101;0001;0;0;20181231
DDD;178170038;M;19870101;0001;0;0;20181231
DDD;150211435;M;19850101;0001;0;0;20181231
DDD;150218545;V;19850101;0001;0;0;20181231
DDD;150227102;V;19840101;0001;0;0;20181231
DDD;178093415;M;19870101;0001;0;0;20181231
DDD;150940311;V;19740101;0001;0;0;20181231
DDD;178091430;V;19870101;0001;0;0;20181231
DDD;178248142;M;19850101;0001;0;0;20181231
DDD;178088846;V;19870101;0001;0;0;20181231
DDD;178088109;M;19870101;0001;0;0;20181231
DDD;150260756;V;19850101;0001;0;0;20181231
DDD;178083798;M;19830101;0001;0;0;20181231
DDD;178078273;V;19870101;0001;0;0;20181231
DDD;178074031;V;19870101;0001;0;0;20181231
DDD;150264836;M;19840101;0001;0;0;20181231
DDD;178068086;V;19870101;0001;0;0;20181231
DDD;150265364;M;19840101;0001;0;0;20181231
DDD;178058104;M;19860101;0001;0;0;20181231
DDD;150280981;M;19650101;0001;0;0;20181231
DDD;178044726;V;19850101;0001;0;0;20181231
DDD;150238434;M;19850101;0001;0;0;20181231
DDD;149983926;V;19790101;0001;0;0;20181231
DDD;149813003;V;19620101;0001;0;0;20181231
DDD;149818080;M;19820101;0001;0;0;20181231
DDD;149832514;V;19670101;0001;0;0;20181231
DDD;149847944;V;19830101;0001;0;0;20181231
DDD;149849350;V;19580101;0001;0;0;20181231
DDD;149852720;V;19730101;0001;0;0;20181231
DDD;149857614;V;19770101;0001;0;0;20181231
DDD;149859678;M;19710101;0001;0;0;20181231
DDD;149861593;V;19790101;0001;0;0;20181231
DDD;149864516;V;19710101;0001;0;0;20181231
DDD;149864826;V;19780101;0001;0;0;20181231
DDD;179385707;M;19740101;0001;0;0;20181231
DDD;150057982;V;19690101;0001;0;0;20181231
DDD;149971126;V;19650101;0001;0;0;20181231
DDD;150054945;V;19800101;0001;0;0;20181231
DDD;179357298;M;19730101;0001;0;0;20181231
DDD;149987461;M;19760101;0001;0;0;20181231
DDD;179338328;M;19800101;0001;0;0;20181231
DDD;179051891;M;19680101;0001;0;0;20181231
DDD;179046177;M;19800101;0001;0;0;20181231
DDD;149995118;M;19680101;0001;0;0;20181231
DDD;150041152;M;19820101;0001;0;0;20181231
DDD;178962483;M;19800101;0001;0;0;20181231
DDD;178934008;V;19700101;0001;0;0;20181231
DDD;178547468;V;19820101;0001;0;0;20181231
DDD;178423104;V;19800101;0001;0;0;20181231
DDD;150318807;V;19830101;0001;0;0;20181231
DDD;149874357;V;19770101;0001;0;0;20181231
DDD;176196328;M;19820101;0001;0;0;20181231
DDD;150284987;V;19670101;0001;0;0;20181231
DDD;176568699;V;19600101;0001;0;0;20181231
DDD;150585736;V;19780101;0001;0;0;20181231
DDD;176558896;M;19800101;0001;0;0;20181231
DDD;150694379;M;19640101;0001;0;0;20181231
DDD;150713361;M;19710101;0001;0;0;20181231
DDD;150729879;V;19740101;0001;0;0;20181231
DDD;150776669;V;19690101;0001;0;0;20181231
DDD;176473104;V;19800101;0001;0;0;20181231
DDD;150784471;V;19670101;0001;0;0;20181231
DDD;176346016;V;19750101;0001;0;0;20181231
DDD;176233069;M;19730101;0001;0;0;20181231
DDD;176580571;M;19690101;0001;0;0;20181231
DDD;150821889;V;19740101;0001;0;0;20181231
DDD;176673324;V;19760101;0001;0;0;20181231
DDD;176155429;V;19840101;0001;0;0;20181231
DDD;150848109;V;19630101;0001;0;0;20181231
DDD;175896658;M;19600101;0001;0;0;20181231
DDD;150851223;M;19640101;0001;0;0;20181231
DDD;175877841;V;19830101;0001;0;0;20181231
DDD;175751808;V;19730101;0001;0;0;20181231
DDD;150913636;M;19680101;0001;0;0;20181231
DDD;175520166;V;19810101;0001;0;0;20181231
DDD;175493509;V;19840101;0001;0;0;20181231
DDD;175277065;M;19790101;0001;0;0;20181231
DDD;175272547;V;19760101;0001;0;0;20181231
DDD;199249913;V;19870101;0001;0;0;20181231
DDD;150820834;V;19820101;0001;0;0;20181231
DDD;150496350;V;19810101;0001;0;0;20181231
DDD;175192881;M;19810101;0001;0;0;20181231
DDD;150318893;V;19780101;0001;0;0;20181231
DDD;177851818;V;19790101;0001;0;0;20181231
DDD;177672151;M;19550101;0001;0;0;20181231
DDD;150320826;V;19690101;0001;0;0;20181231
DDD;150360647;M;19790101;0001;0;0;20181231
DDD;150370367;M;19700101;0001;0;0;20181231
DDD;150388736;M;19830101;0001;0;0;20181231
DDD;177538550;M;19700101;0001;0;0;20181231
DDD;177319397;M;19790101;0001;0;0;20181231
DDD;177311837;V;19590101;0001;0;0;20181231
DDD;150416549;M;19620101;0001;0;0;20181231
DDD;150577423;M;19690101;0001;0;0;20181231
DDD;150490141;V;19790101;0001;0;0;20181231
DDD;150286107;V;19630101;0001;0;0;20181231
DDD;177244749;M;19750101;0001;0;0;20181231
DDD;150501643;M;19800101;0001;0;0;20181231
DDD;177229475;V;19610101;0001;0;0;20181231
DDD;150516952;V;19620101;0001;0;0;20181231
DDD;177084485;V;19570101;0001;0;0;20181231
DDD;176859438;V;19650101;0001;0;0;20181231
DDD;150517914;M;19830101;0001;0;0;20181231
DDD;176819604;V;19790101;0001;0;0;20181231
DDD;176812867;V;19820101;0001;0;0;20181231
DDD;150551886;V;19820101;0001;0;0;20181231
DDD;176812057;M;19820101;0001;0;0;20181231
DDD;150569171;V;19690101;0001;0;0;20181231
DDD;150465104;V;19800101;0001;0;0;20181231
DDD;123266828;V;19620101;0001;0;0;20181231
DDD;206616830;M;19910101;0001;0;0;20181231
DDD;206613867;M;19910101;0001;0;0;20181231
DDD;206604262;V;19910101;0001;0;0;20181231
DDD;206524858;M;19910101;0001;0;0;20181231
DDD;206444953;M;19910101;0001;0;0;20181231
DDD;206393867;M;19910101;0001;0;0;20181231
DDD;206387355;V;19910101;0001;0;0;20181231
DDD;206368616;V;19910101;0001;0;0;20181231
DDD;206272746;V;19910101;0001;0;0;20181231
DDD;206106493;V;19910101;0001;0;0;20181231
DDD;123264059;M;19640101;0001;0;0;20181231
DDD;205849531;M;19910101;0001;0;0;20181231
DDD;205972615;M;19910101;0001;0;0;20181231
DDD;123261264;V;19590101;0001;0;0;20181231
DDD;205904171;V;19910101;0001;0;0;20181231
DDD;20588670;V;19580101;0001;0;0;20181231
DDD;123270132;M;19620101;0001;0;0;20181231
DDD;123271526;V;19540101;0001;0;0;20181231
DDD;205853151;V;19910101;0001;0;0;20181231
DDD;123275288;M;19610101;0001;0;0;20181231
DDD;123275354;V;19620101;0001;0;0;20181231
DDD;123421706;M;19600101;0001;0;0;20181231
DDD;123472044;V;19560101;0001;0;0;20181231
DDD;123940887;M;19570101;0001;0;0;20181231
DDD;205849665;M;19910101;0001;0;0;20181231
DDD;125258269;M;19650101;0001;0;0;20181231
DDD;206072538;V;19910101;0001;0;0;20181231
DDD;206990430;V;19910101;0001;0;0;20181231
DDD;122713411;M;19630101;0001;0;0;20181231
DDD;122724244;M;19690101;0001;0;0;20181231
DDD;122908983;V;19580101;0001;0;0;20181231
DDD;207178773;M;19910101;0001;0;0;20181231
DDD;207159979;V;19910101;0001;0;0;20181231
DDD;207097731;V;19910101;0001;0;0;20181231
DDD;207058015;V;19910101;0001;0;0;20181231
DDD;122998918;M;19630101;0001;0;0;20181231
DDD;123229138;V;19600101;0001;0;0;20181231
DDD;207052790;M;19910101;0001;0;0;20181231
DDD;123231285;V;19560101;0001;0;0;20181231
DDD;206990509;V;19910101;0001;0;0;20181231
DDD;206630790;V;19910101;0001;0;0;20181231
DDD;123236861;M;19620101;0001;0;0;20181231
DDD;206662755;V;19900101;0001;0;0;20181231
DDD;123242849;M;19580101;0001;0;0;20181231
DDD;206972221;M;19910101;0001;0;0;20181231
DDD;206958394;V;19910101;0001;0;0;20181231
DDD;123244747;V;19650101;0001;0;0;20181231
DDD;206920879;V;19910101;0001;0;0;20181231
DDD;123244895;M;19590101;0001;0;0;20181231
DDD;123246288;M;19540101;0001;0;0;20181231
DDD;123247883;M;19580101;0001;0;0;20181231
DDD;206888562;V;19910101;0001;0;0;20181231
DDD;206763042;V;19910101;0001;0;0;20181231
DDD;123256836;V;19530101;0001;0;0;20181231
DDD;124141048;V;19670101;0001;0;0;20181231
DDD;123236307;V;19570101;0001;0;0;20181231
DDD;205395368;V;19910101;0001;0;0;20181231
DDD;125134422;M;19880101;0001;0;0;20181231
DDD;125140849;V;19880101;0001;0;0;20181231
DDD;125144106;M;19880101;0001;0;0;20181231
DDD;205495660;V;19900101;0001;0;0;20181231
DDD;205410906;V;19840101;0001;0;0;20181231
DDD;125144354;M;19880101;0001;0;0;20181231
DDD;125151932;V;19880101;0001;0;0;20181231
DDD;125154848;M;19880101;0001;0;0;20181231
DDD;125170902;M;19880101;0001;0;0;20181231
DDD;125182611;M;19880101;0001;0;0;20181231
DDD;125184067;V;19890101;0001;0;0;20181231
DDD;124140725;V;19550101;0001;0;0;20181231
DDD;125184596;V;19890101;0001;0;0;20181231
DDD;125058007;V;19870101;0001;0;0;20181231
DDD;161671450;V;19820101;0001;0;0;20181231
DDD;205350988;M;19910101;0001;0;0;20181231
DDD;164565954;M;19830101;0001;0;0;20181231
DDD;125188163;M;19880101;0001;0;0;20181231
DDD;125204218;V;19890101;0001;0;0;20181231
DDD;205284503;M;19910101;0001;0;0;20181231
DDD;125207620;V;19890101;0001;0;0;20181231
DDD;205269247;M;19910101;0001;0;0;20181231
DDD;125208199;V;19880101;0001;0;0;20181231
DDD;125246242;V;19870101;0001;0;0;20181231
DDD;125253296;V;19620101;0001;0;0;20181231
DDD;139709270;V;19700101;0001;0;0;20181231
DDD;205404302;M;19900101;0001;0;0;20181231
DDD;205622062;V;19910101;0001;0;0;20181231
DDD;124151801;M;19560101;0001;0;0;20181231
DDD;205827999;M;19910101;0001;0;0;20181231
DDD;124160091;V;19590101;0001;0;0;20181231
DDD;205790476;M;19910101;0001;0;0;20181231
DDD;124162154;M;19620101;0001;0;0;20181231
DDD;124233210;V;19640101;0001;0;0;20181231
DDD;205785778;M;19910101;0001;0;0;20181231
DDD;205777003;M;19910101;0001;0;0;20181231
DDD;124286525;M;19870101;0001;0;0;20181231
DDD;205704608;V;19910101;0001;0;0;20181231
DDD;124325013;V;19880101;0001;0;0;20181231
DDD;205668293;V;19910101;0001;0;0;20181231
