Instcode;Unieknr;Volgnrar;Aadnstvb;Ingdatdv;Eindatdv;HOOPgeb;Functcat;WelGeenHGL;Salschal;Taakomv;Aanst_22;Peildat
DDD;100359934;1;V;20090101;99990101;DIV;30130;0;8;9474;V;20201231
DDD;100359934;1;V;20090101;99990101;DIV;30130;0;8;10000;V;20171231
DDD;100375624;4;T;20170101;99990101;T&C;10720;0;11;8000;L;20181231
DDD;100375624;4;T;20170101;99990101;T&C;10720;0;11;10000;L;20191231
DDD;100375624;4;V;20170101;99990101;T&C;10710;0;12;10000;V;20201231
DDD;100375624;4;T;20170101;99990101;T&C;71040;0;11;2000;T;20171231
DDD;100391271;3;T;20190101;99990101;G&M;10930;0;11;4000;K;20191231
DDD;100488188;4;V;20090101;99990101;NATU;10710;0;12;10000;V;20181231
DDD;100488188;4;V;20090101;99990101;NATU;10610;0;14;10000;V;20191231
DDD;100488188;4;V;20090101;99990101;NATU;10610;0;14;10000;V;20201231
DDD;100488188;4;V;20090101;99990101;NATU;10710;0;12;10000;L;20171231
DDD;100546431;4;V;20040101;99990101;NATU;21320;0;10;6000;V;20181231
DDD;100546431;4;V;20040101;99990101;NATU;21320;0;10;4000;V;20191231
DDD;100546431;4;V;20040101;99990101;NATU;21320;0;10;2000;V;20201231
DDD;100546431;4;V;20040101;99990101;NATU;21320;0;10;6000;V;20171231
DDD;100589460;1;V;20130101;99990101;DIV;70110;0;13;10000;V;20181231
DDD;100589460;1;V;20130101;99990101;DIV;70110;0;13;10000;V;20191231
DDD;100589460;1;V;20130101;99990101;DIV;70110;0;13;10000;V;20201231
DDD;100589460;1;V;20130101;99990101;DIV;70110;0;13;10000;V;20171231
DDD;100671730;3;T;20170101;99990101;DIV;30210;0;6;8000;T;20171231
DDD;100681146;1;V;20060101;99990101;DIV;60120;0;10;10000;V;20181231
DDD;100681146;1;V;20060101;99990101;DIV;60120;0;10;10000;V;20191231
DDD;100681146;1;V;20060101;99990101;DIV;60120;0;10;10000;V;20201231
DDD;100681146;1;V;20060101;99990101;DIV;60120;0;10;10000;V;20171231
DDD;100707232;2;V;20200101;99990101;NATU;10520;1;16;5000;V;20201231
DDD;100716209;1;V;20170101;99990101;DIV;70710;0;15;10000;V;20181231
DDD;100716209;1;V;20170101;99990101;DIV;70710;0;15;10000;V;20191231
DDD;100716209;1;V;20170101;99990101;DIV;70210;0;16;10000;V;20201231
DDD;100716209;1;V;20170101;99990101;DIV;70710;0;15;10000;V;20171231
DDD;100720316;1;V;19980101;99990101;NATU;21330;0;9;10000;V;20181231
DDD;100720316;1;V;19980101;99990101;NATU;21330;0;9;10000;V;20191231
DDD;100720316;1;V;19980101;99990101;NATU;21330;0;9;10000;V;20201231
DDD;100720316;1;V;19980101;99990101;NATU;21330;0;9;10000;V;20171231
DDD;100733219;2;V;19960101;99990101;DIV;70320;0;11;10000;V;20181231
DDD;100733219;2;V;19960101;99990101;DIV;70320;0;12;10000;V;20191231
DDD;100733219;2;V;19960101;99990101;DIV;70320;0;12;10000;V;20201231
DDD;100733219;2;V;19960101;99990101;DIV;60110;0;11;10000;V;20171231
DDD;100743680;6;T;20170101;99990101;G&M;10930;0;11;3000;L;20181231
DDD;100743680;6;V;20170101;99990101;G&M;10930;0;11;3000;V;20191231
DDD;100743680;6;V;20170101;99990101;G&M;10920;0;12;3000;V;20201231
DDD;100743680;6;T;20170101;99990101;G&M;10930;0;11;4000;L;20171231
DDD;100827785;2;V;19980101;20190101;G&M;10710;0;12;10000;V;20181231
DDD;100827785;2;V;19980101;99990101;G&M;10710;0;12;10000;L;20171231
DDD;100963692;1;T;20170101;99990101;NATU;10820;0;12;10000;T;20181231
DDD;100963692;1;T;20170101;99990101;NATU;10820;0;12;10000;T;20191231
DDD;100963692;1;T;20170101;99990101;NATU;10820;0;12;10000;T;20201231
DDD;100963692;1;T;20170101;99990101;NATU;10820;0;12;10000;T;20171231
DDD;100997714;1;V;20190101;99990101;T&C;10520;1;16;10000;V;20191231
DDD;100997714;1;V;20190101;99990101;T&C;10520;1;16;10000;V;20201231
DDD;101133533;1;V;20130101;99990101;T&C;10710;0;12;4000;V;20181231
DDD;101133533;1;V;20130101;99990101;T&C;10620;0;13;4000;V;20191231
DDD;101133533;1;V;20130101;99990101;T&C;10620;0;13;7000;V;20201231
DDD;101133533;1;V;20130101;99990101;T&C;10710;0;12;4000;L;20171231
DDD;101181698;2;V;20130101;99990101;G&M;20620;0;11;10000;V;20181231
DDD;101181698;2;V;20130101;99990101;G&M;20620;0;11;10000;V;20191231
DDD;101181698;2;V;20130101;99990101;DIV;20620;0;11;10000;V;20201231
DDD;101181698;2;V;20130101;99990101;G&M;20620;0;11;10000;V;20171231
DDD;101195453;3;T;20170101;99990101;NATU;10840;0;10;8000;T;20181231
DDD;101195453;3;T;20170101;99990101;NATU;10840;0;10;8000;T;20191231
DDD;101195453;3;T;20170101;99990101;NATU;10840;0;10;4000;T;20201231
DDD;101195453;3;T;20170101;99990101;NATU;10840;0;10;8000;T;20171231
DDD;101203177;7;T;20170101;99990101;T&C;21510;0;10;6000;T;20181231
DDD;101203177;8;T;20180101;99990101;T&C;10940;0;10;1000;K;20181231
DDD;101203177;9;T;20180101;99990101;T&C;10830;0;11;3000;T;20181231
DDD;101203177;7;T;20170101;99990101;T&C;21510;0;10;6000;T;20171231
DDD;101230320;1;V;20140101;99990101;G&M;20220;0;10;10000;V;20181231
DDD;101230320;1;V;20140101;99990101;G&M;20220;0;10;10000;V;20191231
DDD;101230320;1;V;20140101;99990101;G&M;20220;0;10;6000;V;20201231
DDD;101230320;1;V;20140101;99990101;G&M;21030;0;8;10000;V;20171231
DDD;101258885;4;T;20170101;99990101;G&M;10940;0;10;2000;K;20181231
DDD;101258885;4;T;20170101;99990101;G&M;10940;0;10;2000;K;20171231
DDD;101285412;6;T;20170101;99990101;T&C;10940;0;10;5000;K;20171231
DDD;101311824;9;T;20180101;99990101;G&M;10520;1;16;2000;K;20181231
DDD;101311824;9;T;20180101;99990101;G&M;10520;1;16;2000;K;20191231
DDD;101311824;7;V;20110101;99990101;G&M;10520;1;16;10000;L;20171231
DDD;101337924;1;V;20100101;99990101;DIV;30130;0;8;6000;V;20181231
DDD;101337924;1;V;20100101;99990101;DIV;30130;0;8;6000;V;20191231
DDD;101337924;1;V;20100101;99990101;DIV;30130;0;8;6000;V;20201231
DDD;101337924;1;V;20100101;99990101;DIV;30130;0;8;6000;V;20171231
DDD;101362267;1;T;20160101;99990101;RECH;10520;1;16;2000;L;20181231
DDD;101362267;1;T;20160101;99990101;RECH;10520;1;16;2000;L;20191231
DDD;101362267;1;T;20160101;99990101;RECH;10520;1;16;2000;L;20201231
DDD;101362267;1;T;20160101;99990101;RECH;10520;1;16;2000;L;20171231
DDD;101436725;5;T;20170101;20190101;T&C;10930;0;11;4000;K;20181231
DDD;101436725;7;T;20190101;99990101;T&C;10930;0;11;2000;T;20191231
DDD;101436725;7;V;20190101;99990101;T&C;10720;0;11;6000;V;20201231
DDD;101436725;5;T;20170101;99990101;T&C;10930;0;11;4000;K;20171231
DDD;101458410;1;T;20200101;99990101;RECH;30830;0;6;6000;T;20201231
DDD;101492138;4;T;20160101;99990101;NATU;10720;0;11;10000;L;20181231
DDD;101492138;4;T;20160101;99990101;NATU;10720;0;11;10000;L;20191231
DDD;101492138;4;V;20160101;99990101;NATU;10620;0;13;10000;V;20201231
DDD;101492138;4;T;20160101;99990101;NATU;10720;0;11;10000;L;20171231
DDD;101515460;1;V;19950101;99990101;G&M;30120;0;9;8000;V;20181231
DDD;101515460;1;V;19950101;99990101;G&M;30120;0;9;7000;V;20191231
DDD;101515460;1;V;19950101;99990101;G&M;30120;0;9;7000;V;20201231
DDD;101515460;1;V;19950101;99990101;G&M;30120;0;9;8000;V;20171231
DDD;101516434;2;V;20050101;99990101;G&M;10610;0;14;10000;V;20181231
DDD;101516434;2;V;20050101;99990101;G&M;10520;1;16;10000;V;20191231
DDD;101516434;2;V;20050101;99990101;G&M;10520;1;16;10000;V;20201231
DDD;101516434;2;V;20050101;99990101;G&M;10610;0;14;10000;L;20171231
DDD;101527553;3;T;20200101;99990101;G&M;10920;0;12;5000;K;20201231
DDD;101538997;1;V;20090101;99990101;G&M;30810;0;8;10000;V;20181231
DDD;101538997;1;V;20090101;99990101;G&M;30810;0;8;10000;V;20191231
DDD;101538997;1;V;20090101;99990101;G&M;30810;0;8;10000;V;20201231
DDD;101538997;1;V;20090101;99990101;G&M;30810;0;8;10000;V;20171231
DDD;101551373;11;T;20190101;99990101;T&C;10840;0;10;6000;T;20191231
DDD;101568477;2;V;19980101;99990101;RECH;10520;1;16;10000;V;20181231
DDD;101568477;2;V;19980101;99990101;RECH;10520;1;16;10000;V;20191231
DDD;101568477;2;V;19980101;99990101;RECH;10520;1;16;10000;V;20201231
DDD;101568477;2;V;19980101;99990101;RECH;10610;0;14;10000;L;20171231
DDD;101572128;13;T;20120101;20180101;T&C;10620;0;13;8000;L;20171231
DDD;101577751;1;T;20160101;99990101;T&C;70140;0;10;8000;T;20171231
DDD;101589535;1;V;20130101;99990101;G&M;30210;0;6;6500;V;20181231
DDD;101589535;1;V;20130101;99990101;G&M;30210;0;6;6500;V;20191231
DDD;101589535;1;V;20130101;99990101;G&M;30140;0;7;6500;V;20201231
DDD;101589535;1;V;20130101;99990101;G&M;30210;0;6;6500;V;20171231
DDD;101590768;10;V;20200101;99990101;G&M;10930;0;11;6000;V;20201231
DDD;101595237;1;V;20120101;99990101;DIV;60120;0;10;9000;V;20181231
DDD;101595237;1;V;20120101;99990101;DIV;60110;0;11;9000;V;20191231
DDD;101595237;1;V;20120101;99990101;DIV;60110;0;11;9000;V;20201231
DDD;101595237;1;V;20120101;99990101;DIV;60120;0;10;9000;V;20171231
DDD;101618505;2;T;20120101;99990101;NATU;21320;0;10;10000;T;20181231
DDD;101618505;2;T;20120101;99990101;NATU;21320;0;10;10000;T;20191231
DDD;101618505;2;T;20120101;99990101;NATU;21320;0;10;10000;T;20201231
DDD;101618505;2;T;20120101;99990101;NATU;21320;0;10;10000;T;20171231
DDD;101620962;10;V;20120101;99990101;G&M;10940;0;10;8000;V;20181231
DDD;101620962;10;V;20120101;99990101;G&M;10940;0;10;8000;V;20191231
DDD;101620962;10;V;20120101;99990101;G&M;10940;0;10;8000;V;20201231
DDD;101620962;10;V;20120101;99990101;G&M;10940;0;10;4000;L;20171231
DDD;101658739;1;V;20020101;99990101;G&M;30120;0;9;9000;V;20181231
DDD;101658739;1;V;20020101;99990101;G&M;30120;0;9;9000;V;20191231
DDD;101658739;1;V;20020101;99990101;G&M;30120;0;9;9000;V;20201231
DDD;101658739;1;V;20020101;99990101;G&M;30120;0;9;8000;V;20171231
DDD;101712691;1;V;20130101;99990101;G&M;70430;0;11;9000;V;20181231
DDD;101712691;1;V;20130101;99990101;G&M;70430;0;11;9000;V;20191231
DDD;101712691;1;V;20130101;99990101;G&M;70430;0;11;9000;V;20201231
DDD;101712691;1;V;20130101;99990101;G&M;70430;0;11;9000;V;20171231
DDD;101721692;1;V;20050101;99990101;T&C;10710;0;12;6000;V;20181231
DDD;101721692;1;V;20050101;99990101;T&C;10710;0;12;6000;V;20191231
DDD;101721692;1;V;20050101;99990101;T&C;10710;0;12;6000;V;20201231
DDD;101721692;1;V;20050101;99990101;T&C;10710;0;12;6000;L;20171231
DDD;101772506;2;V;19970101;99990101;NATU;30820;0;7;7000;V;20181231
DDD;101772506;2;V;19970101;99990101;NATU;30810;0;8;7000;V;20191231
DDD;101772506;2;V;19970101;99990101;NATU;30810;0;8;7000;V;20201231
DDD;101772506;2;V;19970101;99990101;NATU;30820;0;7;7000;V;20171231
DDD;101811987;4;T;20160101;99990101;G&M;11010;0;10;10000;T;20181231
DDD;101811987;4;T;20160101;20160101;G&M;11010;0;10;10000;T;20191231
DDD;101811987;4;T;20160101;99990101;G&M;11010;0;10;10000;T;20171231
DDD;101842959;3;V;20140101;99990101;NATU;10720;0;11;10000;V;20181231
DDD;101842959;3;V;20140101;99990101;NATU;10720;0;11;10000;V;20191231
DDD;101842959;3;V;20140101;99990101;NATU;10720;0;11;10000;V;20201231
DDD;101842959;3;V;20140101;99990101;NATU;10720;0;11;10000;L;20171231
DDD;101860735;3;V;20130101;99990101;DIV;20230;0;9;8000;V;20181231
DDD;101860735;3;V;20130101;99990101;DIV;20230;0;9;6000;V;20191231
DDD;101860735;3;V;20130101;99990101;DIV;20230;0;9;6000;V;20201231
DDD;101860735;3;V;20130101;99990101;DIV;20230;0;9;8000;V;20171231
DDD;101881294;1;T;20170101;99990101;NATU;10720;0;11;10000;L;20181231
DDD;101881294;1;T;20170101;99990101;NATU;10720;0;11;10000;L;20191231
DDD;101881294;1;T;20170101;99990101;NATU;10720;0;11;10000;L;20201231
DDD;101881294;1;T;20170101;99990101;NATU;10720;0;11;10000;L;20171231
DDD;102074038;1;V;20040101;99990101;RECH;10930;0;11;4000;V;20181231
DDD;102074038;1;V;20040101;99990101;RECH;10930;0;11;4000;V;20191231
DDD;102074038;1;V;20040101;99990101;RECH;10930;0;11;4000;V;20201231
DDD;102074038;1;V;20040101;99990101;RECH;10930;0;11;4000;L;20171231
DDD;102170861;1;V;20020101;99990101;DIV;100320;0;10;8000;V;20181231
DDD;102170861;1;V;20020101;99990101;DIV;100320;0;10;8000;V;20191231
DDD;102170861;1;V;20020101;99990101;DIV;100320;0;10;8000;V;20201231
DDD;102170861;1;V;20020101;99990101;DIV;100320;0;10;8000;V;20171231
DDD;102287947;1;T;20200101;99990101;DIV;70910;0;10;7000;T;20201231
DDD;102455003;6;T;20180101;99990101;NATU;10930;0;11;5000;K;20181231
DDD;102455003;6;T;20180101;99990101;NATU;10930;0;11;5000;K;20191231
DDD;102455003;7;T;20200101;99990101;NATU;20620;0;11;5000;T;20201231
DDD;102495092;1;V;19990101;99990101;G&M;10720;0;11;10000;V;20181231
DDD;102495092;1;V;19990101;99990101;G&M;10720;0;11;10000;V;20191231
DDD;102495092;1;V;19990101;99990101;G&M;10720;0;11;10000;V;20201231
DDD;102495092;1;V;19990101;99990101;G&M;10720;0;11;10000;L;20171231
DDD;102704935;2;V;20000101;99990101;G&M;10520;1;16;10000;V;20181231
DDD;102704935;2;V;20000101;99990101;G&M;10520;1;16;10000;V;20191231
DDD;102704935;2;V;20000101;99990101;G&M;10520;1;16;10000;V;20201231
DDD;102704935;2;V;20000101;99990101;G&M;10520;1;16;10000;L;20171231
DDD;102730817;1;V;20030101;99990101;G&M;10710;0;12;10000;V;20181231
DDD;102730817;1;V;20030101;99990101;G&M;10710;0;12;10000;V;20191231
DDD;102730817;1;V;20030101;99990101;G&M;10710;0;12;10000;V;20201231
DDD;102730817;1;V;20030101;99990101;G&M;10710;0;12;10000;L;20171231
DDD;103012411;1;V;19990101;99990101;G&M;70140;0;10;10000;V;20181231
DDD;103012411;1;V;19990101;99990101;G&M;70140;0;10;10000;V;20191231
DDD;103012411;1;V;19990101;99990101;G&M;70140;0;10;10000;V;20201231
DDD;103012411;1;V;19990101;99990101;G&M;70140;0;10;10000;V;20171231
DDD;103133603;6;V;20160101;99990101;G&M;10930;0;11;3000;V;20181231
DDD;103133603;6;V;20160101;99990101;G&M;10930;0;11;3000;V;20191231
DDD;103133603;6;V;20160101;99990101;G&M;10930;0;11;3000;V;20201231
DDD;103133603;6;V;20160101;99990101;G&M;10930;0;11;3000;L;20171231
DDD;103208336;1;T;20190101;99990101;DIV;10930;0;11;3000;K;20191231
DDD;103208336;1;T;20190101;99990101;DIV;10930;0;11;4500;K;20201231
DDD;103291081;1;V;20150101;99990101;DIV;10620;0;13;9000;V;20181231
DDD;103291081;1;V;20150101;99990101;DIV;10620;0;13;9000;V;20191231
DDD;103291081;1;V;20150101;99990101;DIV;10620;0;13;9000;V;20201231
DDD;103291081;1;V;20150101;99990101;DIV;10620;0;13;9000;L;20171231
DDD;103446490;1;T;20190101;99990101;NATU;10840;0;10;10000;T;20191231
DDD;103446490;1;T;20190101;99990101;NATU;10840;0;10;10000;T;20201231
DDD;103566483;5;T;20170101;99990101;RECH;10940;0;10;2000;L;20181231
DDD;103566483;5;T;20170101;99990101;RECH;10940;0;10;2000;L;20191231
DDD;103566483;5;T;20170101;99990101;RECH;10940;0;10;2000;L;20201231
DDD;103566483;5;T;20170101;99990101;RECH;10940;0;10;2000;L;20171231
DDD;103664104;1;V;20120101;99990101;DIV;60630;0;9;6000;V;20181231
DDD;103664104;1;V;20120101;99990101;DIV;60630;0;9;6000;V;20191231
DDD;103664104;1;V;20120101;99990101;DIV;60630;0;9;6000;V;20201231
DDD;103664104;1;V;20120101;99990101;DIV;21030;0;8;8000;V;20171231
DDD;103696634;2;T;20170101;99990101;G&M;11010;0;10;8000;T;20181231
DDD;103696634;2;T;20170101;99990101;G&M;11010;0;10;8000;T;20191231
DDD;103696634;2;T;20170101;99990101;G&M;11010;0;10;8000;T;20201231
DDD;103696634;2;T;20170101;99990101;G&M;11010;0;10;8000;T;20171231
DDD;103717030;1;T;20200101;99990101;NATU;21320;0;10;10000;T;20201231
DDD;103905642;2;V;20050101;99990101;NATU;30820;0;7;7000;V;20181231
DDD;103905642;2;V;20050101;99990101;NATU;30820;0;7;7000;V;20191231
DDD;103905642;2;V;20050101;99990101;NATU;30820;0;7;7000;V;20201231
DDD;103905642;2;V;20050101;99990101;NATU;30820;0;7;7000;V;20171231
DDD;104057585;1;V;19880101;99990101;NATU;100220;0;8;8000;V;20181231
DDD;104057585;1;V;19880101;99990101;NATU;100220;0;8;8000;V;20191231
DDD;104057585;1;V;19880101;99990101;NATU;100220;0;8;8000;V;20201231
DDD;104057585;1;V;19880101;99990101;NATU;100230;0;7;8000;V;20171231
DDD;10411360;1;T;20170101;99990101;G&M;11010;0;10;8000;T;20181231
DDD;10411360;1;T;20170101;99990101;G&M;11010;0;10;8000;T;20191231
DDD;10411360;1;T;20170101;99990101;G&M;11010;0;10;8000;T;20201231
DDD;10411360;1;T;20170101;99990101;G&M;11010;0;10;10000;T;20171231
DDD;10414386;4;T;20130101;99990101;G&M;11010;0;10;8000;T;20181231
DDD;10414386;5;T;20190101;99990101;G&M;10940;0;10;6000;L;20191231
DDD;10414386;5;V;20190101;99990101;G&M;10930;0;11;6000;V;20201231
DDD;10414386;4;T;20130101;99990101;G&M;11010;0;10;8000;T;20171231
DDD;104187901;1;T;20200101;99990101;G&M;11010;0;10;5000;T;20201231
DDD;104190955;4;T;20180101;99990101;RECH;70340;0;10;8000;T;20181231
DDD;104190955;5;T;20190101;99990101;DIV;71030;0;12;4000;T;20191231
DDD;104190955;6;T;20200101;99990101;T&C;70330;0;11;6000;T;20201231
DDD;104190955;2;T;20160101;20170101;G&M;70330;0;11;8000;T;20171231
DDD;104195039;4;V;20080101;99990101;T&C;10930;0;11;5000;V;20181231
DDD;104195039;4;V;20080101;99990101;T&C;10930;0;11;5000;V;20191231
DDD;104195039;4;V;20080101;99990101;T&C;10930;0;11;5000;V;20201231
DDD;104195039;4;V;20080101;99990101;T&C;10930;0;11;5000;L;20171231
DDD;104204502;2;V;20090101;99990101;T&C;80710;0;8;6000;V;20181231
DDD;104204502;2;V;20090101;99990101;T&C;80710;0;8;6000;V;20191231
DDD;104204502;2;V;20090101;99990101;T&C;80710;0;8;6000;V;20201231
DDD;104204502;2;V;20090101;99990101;DIV;100230;0;7;6000;V;20171231
DDD;104263855;2;T;20170101;20180101;NATU;10840;0;10;2000;T;20171231
DDD;104282033;1;T;20130101;20180101;NATU;10840;0;10;10000;T;20181231
DDD;104282033;1;T;20130101;99990101;NATU;10840;0;10;10000;T;20171231
DDD;104282659;1;T;20200101;99990101;RECH;30830;0;6;3000;T;20201231
DDD;104308953;1;V;20100101;99990101;G&M;30110;0;10;10000;V;20181231
DDD;104308953;1;V;20100101;99990101;G&M;30110;0;10;10000;V;20191231
DDD;104308953;1;V;20100101;99990101;G&M;30110;0;10;10000;V;20201231
DDD;104308953;1;V;20100101;99990101;G&M;30110;0;10;10000;V;20171231
DDD;10432193;4;V;20160101;99990101;DIV;90210;0;9;10000;V;20181231
DDD;10432193;4;V;20160101;99990101;DIV;90210;0;9;8000;V;20191231
DDD;10432193;4;V;20160101;99990101;DIV;90210;0;9;8000;V;20201231
DDD;10432193;4;T;20160101;99990101;DIV;90220;0;8;10000;T;20171231
DDD;104364444;1;V;20040101;99990101;DIV;60420;0;11;9000;V;20181231
DDD;104364444;1;V;20040101;99990101;DIV;60420;0;11;9000;V;20191231
DDD;104364444;1;V;20040101;99990101;DIV;60410;0;12;9000;V;20201231
DDD;104364444;1;V;20040101;99990101;DIV;60420;0;11;10000;V;20171231
DDD;104366101;2;T;20180101;99990101;NATU;21510;0;10;10000;T;20181231
DDD;104366101;2;V;20180101;99990101;NATU;21510;0;10;10000;V;20191231
DDD;104366101;2;V;20180101;99990101;NATU;21510;0;10;10000;V;20201231
DDD;104538868;1;V;20130101;99990101;DIV;70920;0;9;8000;V;20181231
DDD;104538868;1;V;20130101;99990101;DIV;70920;0;9;9000;V;20191231
DDD;104538868;1;V;20130101;99990101;DIV;70910;0;10;9000;V;20201231
DDD;104538868;1;V;20130101;99990101;DIV;70920;0;9;8000;V;20171231
DDD;104764343;2;T;20190101;99990101;G&M;10830;0;11;8500;T;20191231
DDD;104764343;2;T;20190101;99990101;G&M;10830;0;11;8500;T;20201231
DDD;104979737;1;T;20200101;99990101;NATU;70610;0;16;8000;T;20201231
DDD;105074975;1;T;20200101;99990101;DIV;30630;0;9;8421;T;20201231
DDD;105167464;1;V;20010101;99990101;DIV;30610;0;11;8000;V;20181231
DDD;105167464;1;V;20010101;99990101;DIV;80210;0;11;8000;V;20191231
DDD;105167464;1;V;20010101;99990101;DIV;80210;0;11;8000;V;20201231
DDD;105167464;1;V;20010101;99990101;DIV;30610;0;11;8000;V;20171231
DDD;105174890;1;T;20160101;99990101;NATU;10840;0;10;10000;T;20171231
DDD;105193074;2;V;20140101;99990101;DIV;71030;0;12;6000;V;20181231
DDD;105193074;2;V;20140101;99990101;DIV;71030;0;12;6000;V;20191231
DDD;105193074;2;V;20140101;99990101;DIV;71030;0;12;6000;V;20201231
DDD;105193074;2;V;20140101;99990101;DIV;71030;0;12;6000;V;20171231
DDD;105283683;1;V;20140101;99990101;NATU;70110;0;13;10000;V;20181231
DDD;105283683;1;V;20140101;99990101;NATU;70110;0;13;10000;V;20171231
DDD;105336755;1;V;20150101;99990101;NATU;71010;0;14;9000;V;20181231
DDD;105336755;1;V;20150101;99990101;NATU;71010;0;14;9000;V;20171231
DDD;105372986;1;T;20200101;99990101;G&M;30820;0;7;8000;T;20201231
DDD;105416592;1;T;20180101;99990101;DIV;30820;0;7;8000;T;20181231
DDD;105434942;2;V;20120101;99990101;NATU;10710;0;12;10000;V;20181231
DDD;105434942;2;V;20120101;99990101;NATU;10710;0;12;10000;V;20191231
DDD;105434942;2;V;20120101;99990101;NATU;10710;0;12;10000;V;20201231
DDD;105434942;2;T;20120101;99990101;NATU;10840;0;11;10000;T;20171231
DDD;105436554;1;T;20180101;99990101;DIV;20210;0;11;8000;T;20181231
DDD;105436554;1;V;20180101;99990101;DIV;20210;0;11;8000;V;20191231
DDD;105436554;1;V;20180101;99990101;DIV;20210;0;11;8000;V;20201231
DDD;105455768;4;V;20040101;99990101;DIV;100710;0;11;6000;V;20181231
DDD;105455768;4;V;20040101;99990101;DIV;100710;0;11;6000;V;20191231
DDD;105455768;4;V;20040101;99990101;DIV;100710;0;11;6000;V;20201231
DDD;105455768;4;V;20040101;99990101;DIV;100710;0;11;6000;V;20171231
DDD;105467108;5;V;20110101;20190101;T&C;90210;0;9;10000;V;20181231
DDD;105467108;5;V;20110101;99990101;T&C;90210;0;9;10000;V;20171231
DDD;105469068;1;V;20120101;99990101;G&M;10710;0;12;10000;V;20181231
DDD;105469068;1;V;20120101;99990101;G&M;10710;0;12;10000;V;20191231
DDD;105469068;1;V;20120101;99990101;G&M;10710;0;12;10000;V;20201231
DDD;105469068;1;V;20120101;99990101;G&M;10710;0;12;10000;L;20171231
DDD;105595256;1;V;20120101;20180101;G&M;10710;0;12;10000;L;20171231
DDD;105633554;2;T;20200101;99990101;NATU;10720;0;11;10000;L;20201231
